железобетонные сваи 25 шт. + пробное бурение.,210000
Замена базового кровельного материала на мягкую кровлю Шинглас (Технониколь),312300
Замена базового кровельного покрытия на Кликфальц,484830
"Водосточная система деке, цвет на выбор.",94500
Зашивка цоколя в 1 ряд панелями деке,131400
Антисептирование всего силового каркаса на возведенном доме,101780
Покраска наружной отделки стен и свесов кровли на возведенном доме,268630
Покраска внутренних стен и потолков во всем доме на возведенном доме,289750
"Замена на потолке имитации бруса, на натяжной потолок",59000
Ламинат на полы,253700
"Замена всех межкомнатных дверей на МДФ двери Тёмного или Светлого цвета, на выбор.",114000
30 точек электропроводки + щиток,279000
"Черновая разводка ГВС, ХВС и канализации по дому",153000
Отопление электрическими обогревателями (комплект с установкой на весь дом),97200
Отопление дома электрическим теплым полом,185850
Автономная канализация. Станция биологической очистки (Септик).,250000
Фильтрационная система (стоимость может измениться после анализа воды),300000
"Аренда блок-контейнера для проживания бригады, на весь срок строительства",60000
Вывоз мусора после строительства (1 Пухто или 2 газели),80000
Регистрация дома (технический план здания с подачей документов в Росреестр).,40000
Заезд на участок шириной до 6м (для не глубоких канав),220000
"Чистовые сантехнические приборы: бойлер, унитаз(ы), раковина(ы), душевая кабина(ы)",210000
Незамерзающий кран для полива (добавляется к черновой разводке труб),30000
Заземление (комплект с установкой),60000
Подключение света от общего столба к дому в земле до 20 м.п.,120000
